파스텔 기본 네일로 하려구요.,パステルのベーシックネイルにしようと思います。
그런 류의 음식이 유명하대.,そんな種類の料理が有名だそうだよ。
저는 3박 4일로 왔었어요.,私は3泊4日で来ました。
한 번 해보면 재미가 붙을 거야.,一度やってみると面白くなるよ。
늦지 않게 나갈게 조심히 와.,遅れないように出る。気をつけてきてね。
같은걸로 시키자.,同じものにしよう。
올 때 메로나도 사와.,来るときにメロナも買ってきて。
한줄 주시구요.,一列に並んでください。
그러면 산책한 거 다 도루묵 되는거 아냐?,すると、散歩したことが無駄になるんじゃない?
여기는 스테이크가 가장 유명해.,ここはステーキが一番有名だ。
이 쇼핑몰에 영화관 있다고 들었는데 몇 층에 있나요?,このショッピングモールに映画館があると聞いたのですが、何階にありますか?
저기 오시는 저 분한테 물어봐.,あちらの方に聞いてみて。
어떤 수수료 말씀이신가요?,どのような手数料のことでしょうか?
그러면 너는 여기서도 자석 볼 거야?,じゃあ、あなたはここでも磁石を見るつもりなの?
콜라 하나 사이다 나 오렌지 주스 하나요.,コーラを一つとサイダーかオレンジジュースを一つお願いします。
같이 가서 찾아드릴께요~,一緒に行って探して差し上げます。
네~서브도 좋고 스매싱도 좋아요.,はい、サーブもいいし、スマッシュもいいです。
오는길에 용두동에서 사오면 되.,帰りに龍頭洞で買ってくればいい。
팀이면 팀원을 잘 챙겨줘야지.,チームなら、チームメンバーの面倒をよく見てあげないと。
이동하는것도 편하고 코스만 따라가면 되니까.,移動するのも楽ですし、コースだけついて行けばいいから。
"좋아, 자신있게, 당당하게.",よし、自信を持って、堂々と。
오버핏 롱코트를 사고 싶기는 한데.,オーバーフィットのロングコートを買いたいのですが。
그렇구나 고맙다.,そうか、ありがとう。
어떻게 지냈어요?,いかがお過ごしでしたか。
다시 한번 정확하게 말씀해 주세요.,もう一度正確におっしゃってください。
여기가 꿔바로우 맛집이래.,ここがクォバロウが美味しいお店なんだって。
잘 설명해주세요.,よく説明してください。
정상적인 식사가 아니다보니.,通常の食事ではないので。
넌 뭐하고싶은데?,あなたは何がしたいの?
갑자기 이렇게 비가 내리다니 무슨 일이람?,急にこんなに雨が降ってくるなんてどうしたことか。
아는 곳이 있다니 마음이 든든하네요.,知っているところがあるなんて心強いです。
바이킹은 나도 좋아해.,バイキングは私も好きだよ。
요가하면 정신이 맑아지더라고.,ヨガをすると精神が清らかになるんだよね。
이 포즈는 어때?또 이 포즈는?,このポーズはどう?また、このポーズは?
예약번호나 휴대폰 번호 좀 알려주시겠어요?,予約番号か携帯番号を教えてもらえますか?
아무래도 안에만 있는게 답답하겠죠.,どうやら中にだけいるのが窮屈なんでしょうね。
저는 안산에서 왔습니다.,私は安山から来ました。
걷기 운동 좋지.,ウォーキング運動はいいね。
크림 들어간 게 있을까요?,クリーム入りのものはありますか?
낭만이 없다니!,ロマンがないとは!
해산물 좋아하면 B코스도 괜찮구.,海産物が好きなら、Bコースもいい。
내일은 현지식 조식이래요.,明日は現地式の朝食だそうです。
야 프로틴 남은거 있냐?,ねぇ、プロテイン残ってるのある?
오늘 시금치 싱싱한 거 들어왔어요.,今日は新鮮なほうれん草が入っています。
이 노트 몇 개 살까?,このノートいくつ買おうか。
선생님 제 손좀 봐주세요~ 이거 맞나요?,先生、私の手を見てください〜これで合ってますか?
혹시 오늘 저녁 메뉴 뭔지 아시나요?,もし、今晩のメニューは何かご存知ですか。
몇번 버스타야되는지 알아?,何番のバスに乗ればいいかわかりますか。
정말요?~ 저희처럼 설레시겠네요.,本当ですか?~私たちのようにワクワクされますでしょうね。
하하 그렇죠.,はははそうですね。
최대한 빨리 준비해드릴게요.,できるだけ早くご用意いたします。
상체 운동의 꽃은 복근 운동이지!,上体運動の花は腹筋運動だよ!
와 전 울릉도에서 왔는데.,わあ、私は鬱陵島から来たんですが。
런닝머신 먼저하자~,ランニングマシン、先にしよう~
저도 기도할래요 빨리 끝나길.,私もお祈りします、早く終わるようにと。
맞아 어려워 진짜 하 중국.,そうだね、難しい。本当に、はぁ…中国。
"강사님, 그 동안 바빴어요.",先生、ずっと忙しかったです。
몰라 서로 무슨 얘기 하는지.,知らないよ、お互いに何の話をしているのか。
기름진 튀김에 맥주 한 잔!,あぶら濃い揚げ物にビール一杯!
앞으로도 자주 올게요.,これからもよく来ますよ。
내일 7시에 같이 산책해요.,明日の7時に一緒に散歩しましょう。
그냥 거기로 가자.,ただそこに行きましょう。
알겠습니다 문의할게요 그러면.,わかりました、問い合わせます、それでは。
객실로 직접 보내드릴까요?,お部屋に直接お届けしましょうか。
진짜 안 무서운거 맞지?,本当に怖くないんだよね?
그거 먼저 타고 다음에 바이킹 타자.,それに先に乗って、次にバイキングに乗ろう。
내가 언니 닮아서 그렇지 뭐~,私が姉に似ているからだよ、ま~
싱가폴이 가고싶었구나?,シンガポールに行きたかったんだよね?
나는 오리요리는 꼭 먹고 싶어!,私は鴨料理はぜひ食べたい!
스트레칭은 같이 하자.,ストレッチは一緒にやろう。
너 왜 맨날 나한테 시켜?,なぜいつも私にやらせるの?
회원가입부터 하실래요?,会員登録からなさいますか?
근데 여기 계좌번호는 왜 필요한 거에요?,でも、ここの口座番号はどうして必要なんですか?
혼자 발야구를 어떻게 하니?,一人でどうやって草野球をやるの?
지름신이 막 몰려온다~,消費を煽る神がちょうど押し寄せる~
제기차기처럼 하면 되는 거 아냐?,蹴り玉のようにすればいいんじゃない?
어두워서 잘 나올까?,暗くてよく撮れるのか?
운동 조금만 더 해.,運動もう少しして。
네가 한번 해봐.,君がやってみろよ。
DNA의 힘인가 그리고 역시 피는 못 속여.,DNAの力なのか、そしてやはり血は騙せない。
"아니, 나 갑자기 탕수육도 먹고싶어.",いや、私は急に酢豚も食べたい。
주문도 너가 해주라.,注文も君がしてくれ。
내가 영어를 못하니까 어쩔 수 없잖아 말이 너무 심하다.,私が英語ができないから仕方ないじゃないか、言い過ぎだ。
응응 여유있게 준비하자.,うんうん、余裕をもって準備しよう。
일단 관광지 먼저 가보자.,まずは観光地から行ってみよう。
꾸준히 해야 살이 빠지겠지!,地道にやらなきゃ痩せらないだろう!
소음이 너무 심해서요.,騒音がとてもひどくて。
